,precision,recall,f1-score,support
01_palm,0.9950248756218906,1.0,0.9975062344139651,200.0
02_l,0.6289308176100629,1.0,0.7722007722007722,200.0
03_fist,0.9852216748768473,1.0,0.9925558312655087,200.0
04_fist_moved,1.0,0.865,0.9276139410187667,200.0
05_thumb,0.975609756097561,1.0,0.9876543209876543,200.0
06_index,1.0,0.79,0.88268156424581,200.0
07_ok,0.4027777777777778,0.145,0.21323529411764705,200.0
08_palm_moved,1.0,0.17,0.2905982905982906,200.0
09_c,0.7547169811320755,1.0,0.8602150537634409,200.0
10_down,0.5390835579514824,1.0,0.7005253940455342,200.0
accuracy,0.797,0.797,0.797,0.797
macro avg,0.8281365441067697,0.797,0.762478669665739,2000.0
weighted avg,0.8281365441067698,0.797,0.762478669665739,2000.0
